epoch,train_loss,validation_loss,validation_wer
1,5.29325271790453,3.0318526818202094,0.49941262848751833
2,2.1201876570080325,1.8152792719694284,0.5738282109587032
3,1.3520767037057284,1.3224821507930755,0.5991486863349479
4,1.0082343904556574,1.0553156783947577,0.6386320270071921
5,0.8085177121568022,0.8866731574902168,0.7244163852591397
6,0.6864484322887239,0.7802569256379054,0.8313757157539274
7,0.604950094742399,0.705274500296666,1.035072272360408
8,0.5465414638464876,0.6503446620244246,1.2050774084672389
9,0.5039350152386669,0.6049017392672025,1.3636363636363635
10,0.4709888341144902,0.5731825523651564,1.5227823024433194
11,0.44502303795695797,0.5475185845906918,1.655440604593147
12,0.42528745389825573,0.5278874929134663,1.7952160833516766
13,0.40771258489472245,0.5075875688057679,1.9554756840020537
14,0.3933414536145713,0.49283128610024085,2.013570013936771
15,0.38131514321471643,0.4802596227480815,2.0580943299347174
16,0.37040916431494275,0.468727111357909,2.144942419130052
17,0.3613135622373755,0.4593945590349344,2.222988337123157
18,0.3531651350967122,0.45126556914586285,2.2072177803858284
19,0.34528157195362313,0.44511627715367535,2.185285703806939
20,0.33844795875653194,0.43916952747565047,2.1963617692364115
21,0.33297979612197126,0.43475134899983037,2.2449204137020464
22,0.32730568837204416,0.42982401458116676,2.305435340717377
23,0.32261413440912096,0.4257553286277331,2.3188586518007774
24,0.31796013217620334,0.421696187211917,2.313430646226069
25,0.3139261655602218,0.4205634788824962,2.3812807159099245
26,0.3098155836346733,0.4171506845034086,2.3285410401232305
27,0.30675184686525236,0.4139305761227241,2.323113034548522
28,0.30382188202434557,0.4127700299024582,2.3817941758967214
29,0.3006932441129724,0.4103637030491462,2.3750458446416784
30,0.29784425045073776,0.40826846452859733,2.3799706529713864
